id,senator_party,condition,pid7,pre_sexism_1,pre_sexism_2,pre_sexism_3,pre_sexism_4,pre_favorability,pre_vote,gender,age,newsinterest,post_favorability,post_vote,punishment_1,punishment_2,punishment_3,punishment_4,punishment_5,post_sexism_1,post_sexism_2,post_sexism_3,post_sexism_4
105,Democrat,1,Lean Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,5,Woman,18-24,Some of the time,5,5,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
106,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Woman,45-54,Some of the time,8,8,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
107,Republican,2,Strong Republican,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Man,45-54,Most of the time,7,8,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
108,Republican,2,Lean Democrat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree somewhat,2,0,Man,25-34,Some of the time,0,0,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Agree somewhat,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly
109,Republican,3,Lean Democrat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Agree strongly,7,6,Man,25-34,Only now and then,7,5,,,,,,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat
110,Democrat,2,Strong Republican,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,5,1,Woman,35-44,Most of the time,4,1,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
111,Republican,3,Not very strong Democrat,Neither disagree nor agree,Agree somewhat,Disagree somewhat,Neither disagree nor agree,6,4,Man,25-34,Some of the time,6,7,,,,,,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
112,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,3,Man,65 or over,Most of the time,7,3,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
113,Republican,3,Strong Democrat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,6,5,Man,35-44,Most of the time,6,5,,,,,,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
114,Democrat,2,Strong Republican,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,2,2,Man,25-34,Most of the time,1,1,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
115,Democrat,3,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Man,35-44,Most of the time,10,10,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
116,Republican,2,Independent,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,7,6,Man,55-64,Only now and then,1,0,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
117,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,2,Man,35-44,Most of the time,7,2,,,,,,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
118,Republican,2,Lean Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,4,5,Woman,35-44,Most of the time,4,2,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
119,Republican,2,Independent,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,5,5,Man,35-44,Most of the time,5,5,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
120,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,9,Woman,18-24,Most of the time,5,4,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
121,Democrat,1,Strong Republican,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,9,4,Man,45-54,Most of the time,8,4,Agree strongly,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree strongly
122,Democrat,2,Independent,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,10,5,Man,25-34,Most of the time,5,0,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly
123,Democrat,2,Not very strong Republican,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,6,5,Man,25-34,Some of the time,5,5,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
124,Democrat,3,Lean Republican,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly,6,5,Woman,45-54,Most of the time,7,5,,,,,,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly
125,Democrat,2,Strong Republican,Agree strongly,Agree strongly,Disagree somewhat,Disagree somewhat,3,7,Man,25-34,Most of the time,2,3,Agree somewhat,Disagree somewhat,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly
126,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,9,10,Woman,25-34,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
127,Republican,3,Strong Republican,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,10,5,Woman,45-54,Some of the time,10,5,,,,,,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat
128,Republican,2,Not very strong Democrat,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Neither disagree nor agree,6,5,Man,65 or over,Most of the time,3,2,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Agree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree
129,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,5,Woman,35-44,Most of the time,10,5,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
130,Democrat,3,Independent,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,10,10,Man,18-24,Most of the time,10,10,,,,,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
131,Republican,2,Strong Democrat,Agree somewhat,Agree somewhat,Agree somewhat,Agree strongly,10,10,Man,55-64,Hardly at all,10,10,Agree somewhat,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat
132,Democrat,1,Independent,Disagree somewhat,Neither disagree nor agree,Agree strongly,Neither disagree nor agree,7,6,Man,25-34,Some of the time,5,6,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Agree strongly,Neither disagree nor agree
133,Republican,3,Not very strong Democrat,Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,10,9,Woman,35-44,Only now and then,9,9,,,,,,Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat
134,Republican,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,0,Woman,55-64,Most of the time,5,0,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
135,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,9,9,Woman,25-34,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
136,Democrat,3,Lean Democrat,Disagree strongly,Agree somewhat,Neither disagree nor agree,Disagree somewhat,8,7,Woman,25-34,Only now and then,8,8,,,,,,Disagree strongly,Agree somewhat,Neither disagree nor agree,Disagree somewhat
137,Republican,2,Lean Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Prefer not to say,18-24,Only now and then,4,4,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
138,Republican,3,Strong Democrat,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat,2,1,Man,25-34,Some of the time,3,2,,,,,,Agree somewhat,Agree strongly,Agree somewhat,Agree somewhat
139,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Woman,25-34,Some of the time,5,5,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
140,Democrat,3,Not very strong Republican,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,6,6,Man,35-44,Most of the time,7,5,,,,,,Agree somewhat,Agree somewhat,Disagree strongly,Agree somewhat
141,Republican,1,Strong Republican,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,7,5,Woman,25-34,Some of the time,3,3,Disagree strongly,Agree strongly,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly
142,Democrat,2,Strong Republican,Agree somewhat,Agree somewhat,Agree strongly,Neither disagree nor agree,7,10,Man,35-44,Only now and then,10,8,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree strongly,Agree somewhat,Neither disagree nor agree,Agree strongly,Agree strongly,Agree somewhat
143,Republican,1,Not very strong Democrat,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat,5,3,Man,25-34,Some of the time,5,2,Agree somewhat,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat
144,Republican,2,Independent,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,7,7,Man,25-34,Most of the time,10,10,Agree somewhat,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly
145,Republican,3,Lean Republican,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,6,Woman,25-34,Most of the time,7,7,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
146,Democrat,1,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,10,10,Woman,25-34,Some of the time,0,0,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
147,Republican,3,Strong Republican,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,9,9,Man,45-54,Most of the time,8,9,,,,,,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree
148,Republican,3,Lean Democrat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,7,6,Man,25-34,Some of the time,7,7,,,,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
149,Republican,3,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,2,Woman,55-64,Most of the time,6,2,,,,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
150,Democrat,3,Strong Republican,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,8,8,Man,35-44,Some of the time,8,8,,,,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
151,Republican,2,Not very strong Republican,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly,8,8,Man,45-54,Only now and then,4,3,Disagree strongly,Agree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly
152,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,8,Man,25-34,Most of the time,3,3,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
153,Democrat,3,Strong Republican,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,2,0,Man,18-24,Most of the time,2,0,,,,,,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat
154,Democrat,3,Strong Republican,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,8,6,Woman,45-54,Some of the time,6,5,,,,,,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat
155,Republican,3,Independent,Disagree strongly,Disagree somewhat,Agree strongly,Neither disagree nor agree,0,0,Man,35-44,Only now and then,0,0,,,,,,Disagree strongly,Disagree somewhat,Agree strongly,Neither disagree nor agree
156,Democrat,1,Independent,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,1,0,Man,45-54,Most of the time,2,0,Agree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree
157,Democrat,3,Lean Democrat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,6,5,Man,25-34,Most of the time,6,5,,,,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
158,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,1,0,Woman,45-54,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
159,Republican,3,Lean Democrat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree strongly,5,4,Man,25-34,Most of the time,5,4,,,,,,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree strongly
160,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,10,Woman,55-64,Most of the time,10,10,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
161,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,3,1,Man,45-54,Most of the time,2,1,Agree strongly,Neither disagree nor agree,Agree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
162,Democrat,2,Lean Democrat,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,5,5,Man,35-44,Most of the time,5,5,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat
163,Republican,3,Not very strong Democrat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,8,5,Woman,25-34,Most of the time,7,5,,,,,,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree somewhat
164,Republican,1,Independent,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,9,8,Man,35-44,Most of the time,5,5,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree
165,Democrat,2,Not very strong Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,9,9,Man,65 or over,Most of the time,2,1,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
166,Republican,1,Lean Republican,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Disagree somewhat,2,2,Man,25-34,Some of the time,2,2,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat
